year,make,model,price,miles,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,motor_type,standard_type,epa_rating_city,total_actual_miles,total_actual_fuel,epa_expected_fuel,actual_fuel_economy_geotab,percent_difference_actual_to_epa,estimated_fuel_costs_per_gallon,fuel_costs_per_mile
2008,Ford,Focus,5500.0,115167.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4495.0,214830.0,SE,Coupe,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6700.0,54735.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4994.0,121592.0,SE,Coupe,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5999.0,165000.0,SES,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6000.0,86753.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,7995.0,57471.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,6700.0,54735.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4495.0,136052.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,2999.0,145929.0,S,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,3500.0,139374.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,3616.0,139419.0,SES,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4500.0,119408.0,SE,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,4950.0,141633.0,SES,Sedan,Car,FWD,Automatic,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
2008,Ford,Focus,5000.0,187186.0,S,Sedan,Car,FWD,Manual,Unleaded,2.0,Non-Hybrid,SEDAN,24,13074,793.0,544.75,16.49,-0.31,"$1,982.50 ",$0.15 
